Charism,Description
Administration,"The Holy Spirit enables some individuals to motivate, direct and inspire God's people in such a way that they voluntarily and harmoniously work together to do the Church's work effectively. This gift involves being able to put things together, tie up all the ""loose ends"" and get things done and setting a pattern for others to follow.   Adeptness at financing, planning, organizing, delegating responsibilities and problem-solving can be indications of the gift of administration.  Hebrews 13:7, Judges 3:10, Exodus 18:13-16"
Apostleship,"To exercise the gift of apostleship is to perceive and accept God's call to lead others in their spirituality, and to be instrumental in acknowledging God's grace and authority in the life of the Church. This gift involves being able to lead others wisely and compassionately and training others in spiritual   matters. Apostleship includes a combination of wisdom, discernment, leadership and teaching.  Matthew 4:18-22. Acts 14:21-23"
Caregiving,"The Holy Spirit empowers some persons to willingly bear the burdens of others and help them in such a way that they can do their tasks more effectively. To exercise the gift of caregiving or    helping is to give assistance or relief from distress where it is needed. This gift involves a willingness to help others even when the jobs may be messy or involve getting into close proximity with people who are sick or distressed. Matthew 25:34-40, Acts 6:2-4"
Craftsmanship,"To exercise the gift of craftsmanship one must have or develop a skill, be it a hobby or a vocation and must be willing to share this ability with others either in finished products or in teaching others the skill. This gift involves any art or craft or skill, from painting to pottery, to woodwork or weaving, computer skills or photography -- any art or craft that can be used to the glory of God. Exodus 28:3-4, Jeremiah 18:1-6, Exodus 35:35"
Discernment,"The Holy Spirit enables some of us to discover the will of God. To exercise the gift of discernment is to distinguish between truth and error, to identify whether something is of God. This gift involves wisdom and prayerfulness. Proverbs 17:24, Hosea 14:8-9, Acts 5:3-6"
Evangelism,"The Holy Spirit enables individuals to share the Gospel with others in such a way that they come to know God. To exercise the gift of evangelism is to share one's faith within and beyond the parish. This gift involves an unabashed willingness to share the Good News and one�s personal faith journey.  Acts 8:26-40, II Timothy 4:5"
Encouragement,"Empowered by the Holy Spirit, some persons are called to stand beside other people who are in need and bring comfort, counsel and encouragement so they feel helped. To exercise the gift of encouragement is to call forth the best from others.  This gift involves helping others to be more dedicated in living out their faith, bolstering them up when they are discouraged or downhearted and challenging them to see the goals to which God calls them.  Acts 11:23-24, Acts 14:21-22"
Faith,"The Holy Spirit provides individuals with extraordinary confidence in God's promises, power, and presence so that they can take heroic stands for the future of God's work in the church and faith community. This gift involves a healthy prayer life, sensitivity to the will of God and a firm trust that God will come through, even when there is no concrete evidence. Hebrews 11"
Generosity,"The Holy Spirit enables people to offer energies, abilities and material resources for the work of the church with exceptional willingness, cheerfulness and generosity. To exercise the gift of giving one operates out of a spirit of selflessness, requiring no recognition or reward for their giving. This gift involves offering one's time, talent and treasure.  2 Corinthians 8: 1-5, Matthew 6: 1-4"
Healing,"The Holy Spirit leads some individuals to aid in restoring people who are sick. To exercise the gift of healing is to pray not necessarily for a cure but for God's help for the sufferer, that something of good may come out of the distress. This gift involves a healthy prayer life, confidence in God's power to provide courage in suffering, and wellness of spirit regardless of the condition of the body or mind. James 5: 13-16, Luke 9: 1-2 , II Kings 5: 1-3, 9-14"
Hospitality,"A concern for the comfort of others may be a manifestation of the gift of hospitality. This gift involves having a knack for making people at ease, enjoying being in the presence of strangers and a welcoming spirit. Scripture references: Hebrews 13:1-2, Genesis 18:1-8"
Intercession,"Evidences of the gift of intercession would be having the mindset for being instantly in prayer for a person or situation, having confidence that God acts in response to our prayers, being patient and persistent in prayer even when change is not evident and having a continuing sense of responsibility to pray for people and situations.  1 Thessalonians 3:10-13, 1 Timothy 2:1-2"
Knowledge,"To exercise the gift of knowledge, one enjoys learning, probably from childhood and on into adulthood. This gift may include knowledge of facts and relationships, of scripture and of the tradition of the church and knowledge of the ways of sharing these learnings gracefully.  Ephesians 3: 14-19, Hosea 6:6"
Mercy,"The Holy Spirit provides individuals with exceptional empathy and compassion for those who are weak or suffering so that they can devote large amounts of time and energy to alleviate these conditions. To exercise the gift of mercy is to relate to others in kindness and compassion. This gift involves continual readiness to forgive those who have erred, comfort the bereaved, help those who face a crisis, minister to the sick, become a peacemaker or offer assistance to those in need. Luke 10:30-37, Micah 6:8"
Mission,"To exercise the gift of mission is to faithfully and mutually share what one has learned about God. This gift involves a willingness to be with and share with people of different heritage, customs, economic background, experience, or manner of speaking, as much a willingness to listen as to speak and an awareness that God loves all people. 1 Corinthians 9: 19-23, Mark 16: 15-20"
Musicianship,"The Holy Spirit enables some to praise God through various forms of music and enhance the worship experience of the parish community. To exercise the gift of music may involve some skill in singing or in playing an instrument but may also include the ability to select appropriate music for a worship service or parish event or program. 1 Corinthians 14:26, Psalm 98: 1, 4-6, Psalm150:3-6"
Servant Leadership,"The gift of servant leadership allows individuals to assume responsibility for the leadership and guidance of a group within the church. It includes leading, facilitating, counseling and providing a pastoral presence for various parish programs. 1 Peter 5: 1-11"
Trust,"The Holy Spirit empowers some individuals to accomplish much toward achieving God's will in our church and community. In some versions of Scripture this gift is called the working of miracles. This gift involves a firm and faithful relationship with God, courage in the face of adversity and a willingness to trust in the power of God.  John 14:11-14, Micah 3:8, Acts 1:8, 2 Timothy 1:5-7"
Prophet,"The Holy Spirit empowers some individuals to interpret and apply God's revelation in a given situation. This gift involves a keen sense of the dignity of all people, a sense of call, a sense of timing and some knowledge of Scripture and church teachings. 1 Corinthians 14:1-5, 1 Corinthians 14:30-33a, 1 Corinthians 14:37-40"
Service,"To exercise the gift of service is to identify closely with the needs and problems of others, not providing answers or solutions, but being willing to work with them, no matter how small or how big the task may be. This gift involves a willingness to ""pitch in"" and do whatever is needed, no matter how detailed or tedious the task. Galatians 6:1-2, Philippians 2:3-8"
Teaching,"The Holy Spirit enables some individuals to communicate so that others can learn. To exercise the gift of teaching one effectively imparts information or proclaims precepts of our Catholic faith either orally, visually or by example. Hebrews 5:12-14, Isaiah 28:9-10"
